Titulo,Ano,Duracao,Plataforma,Classificacao Indicativa,IMDb,Rotten Tomatoes,Enredo
The Boy Who Harnessed the Wind,2019,113.0,Netflix,7+,7.6/10,89/100,"Inspired by a science book, 13-year-old William Kamkwamba builds a wind turbine to save his Malawian village from famine. Based on a true story."
The Devil All the Time,2020,138.0,Outra,18+,7.1/10,89/100,
The Fundamentals of Caring,2016,97.0,Netflix,18+,7.3/10,89/100,"In this inspirational buddy comedy, a young shut-in and his caregiver take a road trip in search of landmarks, but end up finding hope and friendship."
Pieces of a Woman,2020,126.0,Netflix,18+,7.1/10,88/100,"A heartbreaking home birth leaves a woman grappling with the profound emotional fallout, isolated from her partner and family by a chasm of grief."
Gerald's Game,2017,103.0,Netflix,18+,6.5/10,88/100,"When her husband's sex game goes wrong, Jessie – handcuffed to a bed in a remote lake house – faces warped visions, dark secrets and a dire choice."
On Body and Soul,2017,116.0,Netflix,,7.6/10,88/100,Two shy and socially awkward co-workers in Budapest form a special bond through a mysterious mystic connection that manifests in a dream.
Shutter Island,2010,138.0,Netflix,18+,8.2/10,88/100,A U.S. marshal's troubling visions compromise his investigation into the disappearance of a patient from a hospital for the criminally insane.
Always Be My Maybe,2019,101.0,Netflix,13+,6.8/10,88/100,"After being unexpectedly dumped by their respective lovers, a man and a woman have a chance meeting at a resort and embark on a unique relationship."
The Intouchables,2011,112.0,Netflix,7+,8.5/10,88/100,"In need of a caregiver, a wealthy aristocrat with quadriplegia hires the last person anyone expects: an ex-con with no experience. Based on a true story."
Bill Burr: Paper Tiger,2019,67.0,Netflix,18+,8.2/10,87/100,"Bill Burr unloads on outrage culture, male feminism, cultural appropriation, robot sex and more in a blistering stand-up special shot in London."
Special 26,2013,144.0,Netflix,,8.0/10,87/100,"In this fact-based crime drama, a gang of con artists posing as government officials executes a heist in the form of a raid on a prominent jeweler."
Kiss the Ground,2020,84.0,Netflix,18+,8.3/10,87/100,Science experts and celebrity activists unpack the ways in which the earth's soil may be the key to combating climate change and preserving the planet.
Crip Camp: A Disability Revolution,2020,106.0,Netflix,18+,7.7/10,87/100,"A groundbreaking summer camp galvanizes a group of teens with disabilities to help build a movement, forging a new path toward greater equality."
Extraction,2020,116.0,Netflix,18+,6.7/10,87/100,"When a retired CIA agent is kidnapped, his son, a government analyst, embarks on an unauthorized mission to find him and halt a terrorist plot."
No Direction Home: Bob Dylan,2005,359.0,Netflix,all,8.5/10,87/100,"Featuring rare concert footage and interviews with legendary musicians, this documentary traces Bob Dylan's life story and extraordinary career."
Kabhi Khushi Kabhie Gham,2001,210.0,Netflix,all,7.4/10,87/100,"Years after his father disowns his adopted brother for marrying a woman of lower social standing, a young man goes on a mission to reunite his family."
His House,2020,93.0,Netflix,16+,6.5/10,87/100,"As a young couple from war-torn South Sudan seeks asylum and a fresh start in England, they’re tormented by a sinister force living in their new home."
Super Deluxe,2019,176.0,Netflix,18+,8.4/10,87/100,"Sex, stigma and spirituality merge in these eccentric stories of an angsty teenager, an unfaithful wife and a transgender woman returning to her past."
The Guernsey Literary & Potato Peel Pie Society,2018,124.0,Outra,16+,7.4/10,87/100,
A Secret Love,2020,81.0,Netflix,18+,7.9/10,87/100,"Amid shifting times, two women kept their decades-long love a secret. But coming out later in life comes with its own set of challenges."
The Night Comes for Us,2018,121.0,Netflix,18+,7.0/10,87/100,"After sparing a girl's life during a massacre, an elite Triad assassin is targeted by an onslaught of murderous gangsters."
The Big Lebowski,1998,117.0,Outra,18+,8.1/10,87/100,
Pad Man,2018,140.0,Netflix,13+,7.9/10,87/100,"Despite public humiliation and resistance, an entrepreneur markets a hygienic, low-cost sanitary pad that even India's poorest women can afford."
American Factory,2019,110.0,Netflix,13+,7.4/10,86/100,"In this documentary, hopes soar when a Chinese company reopens a shuttered factory in Ohio. But a culture clash threatens to shatter an American dream."
Bird Box,2018,124.0,Netflix,18+,6.6/10,86/100,"Five years after an ominous unseen presence drives most of society to suicide, a survivor and her two children make a desperate bid to reach safety."
The Pianist,2002,150.0,Netflix,18+,8.5/10,86/100,Famed Polish pianist Wladyslaw Szpilman struggles to survive the onslaught of Nazi tyranny during World War II in this drama based on his memoirs.
3 Idiots,2009,170.0,Netflix,13+,8.4/10,86/100,"While attending one of India's premier colleges, three miserable engineering students and best friends struggle to beat the school's draconian system."
The Distinguished Citizen,2016,118.0,Netflix,,7.5/10,86/100,"Worried he’s lost his artistic edge, a wealthy expat novelist returns to his backwater hometown in Argentina, where he’s regarded as a local hero."
A Shaun the Sheep Movie: Farmageddon,2019,86.0,Netflix,all,6.8/10,86/100,Shaun and the flock race to help an adorable alien find her way home after her ship crash-lands near Mossy Bottom Farm and sparks a UFO frenzy.
A Clockwork Orange,1971,136.0,Netflix,18+,8.3/10,86/100,"In this dark satire from director Stanley Kubrick, a young, vicious sociopath in a dystopian England undergoes an experimental rehabilitation therapy."
What Happened to Monday,2017,123.0,Netflix,18+,6.9/10,86/100,"In a future with a strict one-child policy, six septuplets must avoid government detection while searching for their missing sister."
Anthony Jeselnik: Thoughts and Prayers,2015,59.0,Netflix,18+,7.8/10,86/100,There's no subject too dark as the comedian skewers taboos and riffs on national tragedies before pulling back the curtain on his provocative style.
The White Helmets,2016,41.0,Netflix,16+,7.5/10,86/100,"As daily airstrikes pound civilian targets in Syria, a group of indomitable first responders risk their lives to rescue victims from the rubble."
Invader ZIM: Enter the Florpus,2019,71.0,Outra,7+,7.5/10,86/100,
Happy as Lazzaro,2018,128.0,Netflix,13+,7.5/10,85/100,"Purehearted teen Lazzaro is content living as a sharecropper in rural Italy, but an unlikely friendship with the marquise's son will change his world."
Chasing Coral,2017,93.0,Netflix,,8.1/10,85/100,"Divers, scientists and photographers around the world mount an epic underwater campaign to document the disappearance of coral reefs."
Kal Ho Naa Ho,2003,186.0,Netflix,all,7.9/10,85/100,An uptight MBA student falls for the charismatic new neighbor who charms her troubled family – but he has a secret that forces him to push her away.
Pan's Labyrinth,2006,118.0,Netflix,18+,8.2/10,85/100,Young Ofelia meets a mythical faun who claims she is destined to become princess of the Underworld. But first she must carry out three perilous tasks.
Team Foxcatcher,2016,90.0,Netflix,16+,7.3/10,85/100,"With never-before seen home video, this film recounts the paranoid downward spiral of John E. du Pont and the murder of Olympic wrestler Dave Schultz."
The Meyerowitz Stories (New and Selected),2017,112.0,Netflix,18+,6.9/10,85/100,Grudges and rivalries abound as three adult siblings converge in New York to contend with their prickly artist father – and his fading legacy.
Casino Royale,2006,144.0,Netflix,13+,8.0/10,85/100,"Daniel Craig makes his debut as the newly minted agent 007, who's pitted against an infamous financier of global terrorism – at the poker table."
The Hateful Eight,2015,168.0,Netflix,18+,7.8/10,85/100,"Years after the Civil War, a bounty hunter and his captive are waylaid by a Wyoming blizzard and hole up in a way station with six dicey strangers."
Rush,2013,123.0,Netflix,18+,8.1/10,84/100,"In the 1970s, a rivalry propels race car drivers Niki Lauda and James Hunt to fame and glory — until a horrible accident threatens to end it all."
Zombieland,2009,88.0,Netflix,18+,7.6/10,84/100,"Looking to survive in a world taken over by zombies, a dorky college student teams with an urban roughneck and a pair of grifter sisters."
Eurovision Song Contest: The Story of Fire Saga,2020,123.0,Netflix,13+,6.5/10,84/100,"Two small-town singers chase their pop star dreams at a global music competition, where high stakes, scheming rivals and onstage mishaps test their bond."
Kapoor & Sons,2016,132.0,Netflix,13+,7.7/10,84/100,"Returning home to visit their ill grandfather, two estranged brothers must confront their unresolved rivalry while their parents’ marriage frays."
The Perfection,2018,90.0,Netflix,18+,6.2/10,84/100,"In this twisty horror-thriller, a once-promising music prodigy reconnects with her former mentors, only to find them taken with a talented new pupil."
Dave Chappelle: Sticks & Stones,2019,65.0,Netflix,18+,8.5/10,84/100,"Dave Chappelle takes on gun culture, the opioid crisis and the tidal wave of celebrity scandals in a defiant stand-up special filmed in Atlanta."
There Will Be Blood,2007,158.0,Netflix,18+,8.2/10,84/100,"An ambitious prospector strikes it rich and turns a simple village into a boomtown, stoking the ire of a charismatic young preacher."
Million Dollar Baby,2004,132.0,Netflix,13+,8.1/10,84/100,"When a cantankerous trainer mentors a persistent amateur boxer determined to go pro, deep-seated emotions become their strongest opponents."
The Social Network,2010,120.0,Netflix,13+,7.7/10,84/100,Director David Fincher's biographical drama chronicles the meteoric rise of Facebook CEO Mark Zuckerberg from Harvard sophomore to Internet superstar.
The Christmas Chronicles,2018,104.0,Netflix,7+,7.0/10,84/100,"After accidentally crashing Santa's sleigh, a brother and sister pull an all-nighter to save Christmas with a savvy, straight-talking St. Nick."
Monty Python and the Holy Grail,1975,91.0,Netflix,7+,8.2/10,84/100,The Monty Python comedy clan skewers King Arthur and his Knights of the Round Table as they quest far and wide for the Holy Grail.
The Pixar Story,2007,88.0,Netflix,all,7.8/10,84/100,Go behind the scenes at Pixar Animation Studios with this Emmy-nominated documentary tracing the creation and history of the groundbreaking company.
Ma Rainey's Black Bottom,2020,94.0,Netflix,18+,7.0/10,84/100,"Tensions and temperatures rise at a Chicago music studio in 1927 when fiery, fearless blues singer Ma Rainey joins her band for a recording session."
Calibre,2018,101.0,Netflix,18+,6.8/10,84/100,Two lifelong friends on a hunting trip in Scotland find their nerves – and their morals – ruthlessly tested after a harrowing turn of events.
Silver Linings Playbook,2012,122.0,Netflix,18+,7.7/10,84/100,"A man with bipolar disorder moves home with his parents and makes a connection with a spirited widow, which helps both of them heal in unique ways."
Over the Moon,2020,95.0,Netflix,7+,6.4/10,84/100,"Fueled by memories of her mother, resourceful Fei Fei builds a rocket to the moon on a mission to prove the existence of a legendary moon goddess."
"What Happened, Miss Simone?",2015,101.0,Netflix,,7.6/10,84/100,"Using never-before-heard recordings, rare archival footage and her best-known songs, this is the story of legendary singer and activist Nina Simone."
Nightcrawler,2014,117.0,Netflix,18+,7.8/10,84/100,A young hustler finds success trolling the streets of Los Angeles to film disasters and death. But the darkness he captures starts to take hold of him.
1922,2017,102.0,Netflix,18+,6.3/10,84/100,"A farmer pens a confession admitting to his wife's murder, but her death is just the beginning of a macabre tale. Based on Stephen King's novella."
Paddleton,2019,89.0,Netflix,18+,7.2/10,84/100,"After he's diagnosed with terminal cancer, middle-aged Michael asks his neighbor friend Andy to help him end his life before the disease does."
Cargo,2017,105.0,Netflix,,6.3/10,84/100,"Aboard a spaceship where souls of the deceased are readied for reincarnation, a lone crew member’s rigid existence is disrupted by a spry new assistant."
Rain Man,1988,133.0,Netflix,18+,8.0/10,83/100,"Motivated by money, a selfish workaholic seeking a piece of his late father's inheritance takes a life-changing road trip with his estranged brother."
Cuba and the Cameraman,2017,113.0,Netflix,,8.3/10,83/100,Emmy-winning filmmaker Jon Alpert chronicles the fortunes of three Cuban families over the course of four tumultuous decades in the nation's history.
The Ritual,2017,94.0,Netflix,18+,6.3/10,83/100,"Four friends with a long-standing – but strained – connection take a hiking trip into the Swedish wilderness, from which they may never return."
The Hater,2020,135.0,Netflix,18+,7.1/10,83/100,A duplicitous young man finds success in the dark world of social media smear tactics — but his virtual vitriol soon has violent real-life consequences.
The Edge of Democracy,2019,121.0,Netflix,16+,7.2/10,83/100,Political documentary and personal memoir collide in this exploration into the complex truth behind the unraveling of two Brazilian presidencies.
22-Jul,2018,143.0,Netflix,18+,6.8/10,83/100,"After devastating terror attacks in Norway, a young survivor, grieving families and the country rally for justice and healing. Based on a true story."
Adam Sandler: 100% Fresh,2018,73.0,Outra,18+,7.6/10,83/100,
Guru,2007,114.0,Netflix,13+,7.7/10,83/100,Ambitious Gurukant Desai ignores his father's advice and leaves his village to find success in Turkey.
A Twelve-Year Night,2018,122.0,Outra,18+,7.5/10,83/100,
Dumplin',2018,110.0,Netflix,13+,6.6/10,83/100,"To prove a point about measuring up and fitting in, Texas teen Willowdean Dickson enters a local pageant run by her ex-beauty queen mom."
The Conjuring,2013,112.0,Netflix,18+,7.5/10,83/100,"When a family starts experiencing supernatural terrors after moving into a Rhode Island farmhouse, they seek the help of a pair of noted demonologists."
Marriage Story,2019,137.0,Netflix,18+,7.9/10,83/100,Academy Award-nominated filmmaker Noah Baumbach directs this incisive and compassionate look at a marriage coming apart and a family staying together.
My Octopus Teacher,2020,85.0,Netflix,all,8.1/10,83/100,"A filmmaker forges an unusual friendship with an octopus living in a South African kelp forest, learning as the animal shares the mysteries of her world."
About Time,2013,123.0,Netflix,13+,7.8/10,83/100,"When Tim learns that the men in his family can travel in time and change their own lives, he decides to go back and win the woman of his dreams."
Hey Arnold! The Jungle Movie,2017,81.0,Netflix,7+,7.6/10,83/100,"When Arnold and his crew win a trip to San Lorenzo, their adventure in the wild forces them to take the same risky path as Arnold's missing parents."
Kung Fu Panda,2008,92.0,Netflix,7+,7.6/10,83/100,"When a powerful villain comes after peace in his valley, a lazy panda rises to the challenge to realize his destiny and become a kung fu warrior."
Superbad,2007,113.0,Netflix,18+,7.6/10,83/100,"Hoping to have sex before college, high school seniors Seth and Evan try to score booze for a huge party, leading to a series of wild misadventures."
The Invisible Guest,2016,106.0,Netflix,18+,8.1/10,83/100,"After waking next to his now-dead lover in a hotel room, a young businessman hires a prominent lawyer to figure out how he ended up a murder suspect."
Chinatown,1974,130.0,Outra,18+,8.2/10,82/100,
Mystic River,2003,138.0,Netflix,18+,7.9/10,82/100,"Haunted by a monstrous crime, three childhood friends in Boston cross paths again decades later in connection with a murder investigation."
The Theory of Everything,2014,123.0,Netflix,13+,7.7/10,82/100,"As his esteem grows in the world of physics, Stephen Hawking's body is ravaged by ALS, forcing his increasing dependence on his devoted wife, Jane."
Springsteen On Broadway,2018,153.0,Outra,,8.5/10,82/100,
The Life Ahead,2020,94.0,Netflix,13+,6.8/10,82/100,A Holocaust survivor running a daycare business forms an unlikely friendship with a bitter street kid when she takes him in after he robs her.
The Terminal,2004,128.0,Netflix,13+,7.4/10,82/100,"Social pressure, a complicated past and a clash of values beset the life of a businessman and his family."
Scott Pilgrim vs. the World,2010,112.0,Netflix,13+,7.5/10,82/100,"Dreamy delivery girl Ramona captures Scott Pilgrim's heart, but he must vanquish all seven of her evil exes in martial arts battles to win her love."
Being Elmo: A Puppeteer's Journey,2011,80.0,Netflix,7+,7.6/10,82/100,"Whoopi Goldberg narrates Elmo creator Kevin Clash's remarkable journey from a working-class Baltimore neighborhood to Jim Henson's ""Sesame Street."""
Life of Brian,1979,94.0,Outra,18+,8.1/10,82/100,
The Resistance Banker,2018,123.0,Netflix,18+,6.9/10,82/100,"Risking his family and future, a banker in occupied Amsterdam slows the Nazi war machine by creating an underground bank to fund the resistance."
How to Train Your Dragon 2,2014,102.0,Netflix,7+,7.8/10,82/100,"Hiccup, Toothless and a mysterious dragon rider join forces to protect the island of Berk from a power-hungry warrior with a dragon army of his own."
The Endless Trench,2019,147.0,Netflix,,7.2/10,82/100,"Fearing retribution, a Republican from the Spanish Civil War hides in his home for more than 30 years with the help of his wife. Based on true events."
Even the Rain,2010,103.0,Netflix,,7.4/10,82/100,"While making a film about the incursion of Christopher Columbus in the New World, a director finds the Bolivian locals protesting modern exploitation."
Love Actually,2003,135.0,Outra,18+,7.6/10,82/100,
Dear Ex,2018,100.0,Netflix,18+,7.4/10,82/100,"A teen navigates a bitter feud between his willful mom and a free-spirited man, who's the lover and insurance beneficiary of his recently deceased dad."
Braven,2018,94.0,Netflix,18+,5.9/10,82/100,A logger defends himself and his family from a group of murderous drug traffickers who have hidden a stash of heroin in his hunting cabin.
Period. End of Sentence.,2018,26.0,Netflix,,7.4/10,82/100,"In rural India, where the stigma of menstruation persists, women make low-cost sanitary pads on a new machine and stride toward financial independence."
Captain Fantastic,2016,118.0,Netflix,18+,7.9/10,82/100,"A father raising his children off the grid begins to question his anti-establishment, utopian views when a tragic loss pulls them back into society."
Veronica,2017,94.0,Netflix,18+,6.2/10,81/100,"In 1991 Madrid, after holding a séance at school, a teen girl minding her younger siblings at home suspects an evil force has entered their apartment."
The Siege of Jadotville,2016,108.0,Netflix,,7.2/10,81/100,"Besieged by overwhelming enemy forces, Irish soldiers on a U.N. peacekeeping mission in Africa valiantly defend their outpost in this true story."
Into the Inferno,2016,104.0,Netflix,,7.2/10,81/100,"With stunning views of eruptions and lava flows, Werner Herzog captures the raw power of volcanoes and their ties to indigenous spiritual practices."
Ricky Gervais: Humanity,2018,79.0,Netflix,18+,8.0/10,81/100,"In his first special in seven years, Ricky Gervais slings his trademark snark at celebrity, mortality and a society that takes everything personally."
A Whisker Away,2020,104.0,Netflix,7+,6.7/10,81/100,"A peculiar girl transforms into a cat to catch her crush's attention. But before she realizes it, the line between human and animal starts to blur."
Lady Bird,2017,94.0,Netflix,18+,7.4/10,81/100,"An intrepid high schooler in Sacramento undergoes the trials of love, family and self-discovery as she dreams of escaping to college on the East Coast."
Road to Perdition,2002,117.0,Outra,18+,7.7/10,81/100,
Boogie Nights,1997,155.0,Netflix,18+,7.9/10,81/100,A well-endowed busboy is taken in by a tight-knit group of 1970s porn actors and transforms himself into skin flick celebrity Dirk Diggler.
Total Recall,1990,113.0,Netflix,16+,7.5/10,81/100,"After getting a memory implant, working stiff Douglas Quaid discovers he might actually be a secret agent embroiled in a violent insurrection on Mars."
Bo Burnham: Inside,2021,87.0,Netflix,18+,8.8/10,81/100,"A new comedy special shot and performed by Bo Burnham, alone, over the course of the past year."
Snowpiercer,2013,60.0,Netflix,18+,7.1/10,81/100,The Earth's remaining inhabitants are confined to a single train circling the globe as revolution brews among the class-divided cars.
Circus of Books,2019,92.0,Netflix,,7.1/10,81/100,"For decades, a nice Jewish couple ran Circus of Books, a porn shop and epicenter for gay LA. Their director daughter documents their life and times."
Tallulah,2016,111.0,Netflix,,6.7/10,81/100,"While searching for her ex-boyfriend, a young drifter impulsively kidnaps a baby from a neglectful mother and pretends the child is her own."
The Conjuring 2,2016,134.0,Netflix,18+,7.3/10,81/100,"After her daughter unwittingly releases a malevolent spirit in their house in London, a woman enlists the Warrens' help to confront the evil presence."
They'll Love Me When I'm Dead,2018,98.0,Outra,18+,7.4/10,81/100,
Nocturnal Animals,2016,116.0,Netflix,18+,7.5/10,81/100,"Reading her ex-husband's violent novel manuscript destabilizes gallery owner Susan's life, upending her present while digging up their past."
Get Me Roger Stone,2017,92.0,Netflix,16+,7.3/10,81/100,"Examine the rise, fall and rebirth of political operative Roger Stone, who's been an influential member of Team Trump for decades."
Hachi: A Dog's Tale,2009,93.0,Netflix,all,8.1/10,81/100,"When his master dies, a loyal pooch named Hachiko keeps a vigil for more than a decade at the train station where he once greeted his owner every day."
Dances with Wolves,1990,181.0,Netflix,13+,8.0/10,80/100,"On the frontier, a Civil War soldier bonds with a Sioux tribe and adapts to their way of life, becoming their ally amid growing threats."
Udta Punjab,2016,148.0,Netflix,18+,7.8/10,80/100,"Drug abuse and the darker side of Punjab rear their heads in the intense, interwoven tales of a cop, a doctor, a migrant worker and a rock star."
Bareilly's Barfi,2017,116.0,Outra,,7.5/10,80/100,
Divines,2016,105.0,Netflix,,7.4/10,80/100,A shrewd teenager and her wisecracking best friend plan to get rich or die trying by following in the footsteps of a flashy female drug dealer.
Maktub,2017,100.0,Netflix,7+,7.3/10,80/100,"After surviving a bomb attack, two low-level mobsters in Jerusalem change their ways and set about making strangers' Wailing Wall prayers come true."
Ittefaq,2017,105.0,Netflix,7+,7.2/10,80/100,"A homemaker and a writer are prime suspects – and the only witnesses – in a double murder, and it’s up to one detective to uncover the elusive truth."
Hannah Gadsby: Nanette,2018,69.0,Netflix,18+,8.3/10,80/100,"Australian comic Hannah Gadsby reshapes standard stand-up by pairing punchlines with personal revelations on gender, sexuality and childhood turmoil."
Ali Wong: Hard Knock Wife,2018,64.0,Netflix,18+,7.4/10,80/100,"Two years after the hit ""Baby Cobra,"" Ali Wong is back with another baby bump – and a torrent of hilarious truths about marriage and motherhood."
Seven Pounds,2008,123.0,Netflix,13+,7.6/10,80/100,"Weighed down by a dark secret, IRS agent Ben Thomas tries to improve the lives of seven strangers in need of a second chance."
Uncut Gems,2019,135.0,Netflix,18+,7.4/10,80/100,"With his debts mounting and angry collectors closing in, a fast-talking New York City jeweler risks everything in hopes of staying afloat and alive."
The Kindergarten Teacher,2018,96.0,Netflix,18+,6.7/10,80/100,A devoted teacher takes interest in a young student's creative potential after hearing his poetry. But she soon crosses the line into obsession.
Les Misérables,2012,158.0,Netflix,13+,7.6/10,80/100,"The musical version of Victor Hugo's epic tale of love and sacrifice, first produced for the stage in 1985, now receives the big-screen treatment."
The Sky Is Pink,2019,143.0,Netflix,,7.6/10,80/100,"After succumbing to her terminal illness, a teenager posthumously narrates her parents’ tenacious relationship in this drama based on a true story."
Next Gen,2018,106.0,Netflix,7+,6.6/10,80/100,"When lonely Mai forms an unlikely bond with a top-secret robot, they embark on an intense, action-packed adventure to foil the plot of a vicious villain."
Tom Segura: Disgraceful,2018,71.0,Netflix,13+,7.6/10,80/100,"Tom Segura gives voice to the sordid thoughts you'd never say out loud, with blunt musings on porn, parking lot power struggles, parenthood and more."
My Happy Family,2017,120.0,Netflix,,7.4/10,80/100,"A middle-aged wife and mother of two shocks her traditional, multigenerational Georgian household when she announces she's going to live by herself."
The American Meme,2018,98.0,Netflix,,6.6/10,80/100,"Social media stars Paris Hilton, Josh Ostrovsky, Brittany Furlan and Kirill Bichutsky hustle to build online empires – and face the pitfalls of fame."
Badla,2019,118.0,Netflix,7+,7.8/10,80/100,"When a woman is accused of killing her lover, a renowned lawyer is hired – but the more they try to  untangle the truth, the more convoluted it becomes."
Okko's Inn,2018,94.0,Netflix,7+,7.1/10,80/100,"After losing her parents, a young girl learns about grief and healing from a friendly ghost who lives in her grandmother's traditional Japanese inn."
The Willoughbys,2020,90.0,Netflix,7+,6.4/10,80/100,Four siblings with horribly selfish parents hatch a plan to get rid of them for good and form a perfectly imperfect family of their own.
Hunt for the Wilderpeople,2016,101.0,Netflix,13+,7.9/10,80/100,A misadventure in the wilderness leads to life-changing discoveries for a troubled orphan teen from the city and his belligerent foster father.
Stardust,2007,127.0,Netflix,13+,7.6/10,79/100,"To win his true love's heart, wide-eyed Tristan Thorn journeys to a forbidden realm to retrieve a fallen star that has taken human form."
Wheelman,2017,82.0,Netflix,18+,6.4/10,79/100,The getaway driver in a botched robbery puts his skills and smarts to the test when he receives shocking orders from an unknown caller.
The Artist,2011,100.0,Netflix,13+,7.9/10,79/100,"Winner of five Oscars, this black-and-white silent film follows the romance between a silent-era legend on a downward spiral and a rising starlet."
On My Skin,2018,100.0,Netflix,18+,7.3/10,79/100,"Arrested in Rome for a drug-related offense, Stefano Cucchi endures a harrowing week in custody that changes his family forever. Based on true events."
Gaga: Five Foot Two,2017,100.0,Netflix,18+,7.0/10,79/100,"Follow pop provocateur Lady Gaga as she releases a new album, preps for her Super Bowl halftime show, and confronts physical and emotional struggles."
Hugo,2011,126.0,Netflix,7+,7.5/10,79/100,"Living inside a Paris train station, an orphan eludes the rigid stationmaster, meets a legendary filmmaker and finds the key to unlocking his destiny."
The Impossible,2012,114.0,Netflix,13+,7.6/10,79/100,"Tracking one family's harrowing experiences, this gripping drama depicts the chaos generated by the massive 2004 tsunami in Southeast Asia."
War Dogs,2016,114.0,Netflix,18+,7.1/10,79/100,A massage therapist gets in over his head when he partners with a charismatic childhood pal in the lucrative but shady business of global arms dealing.
Ip Man,2008,106.0,Netflix,18+,8.0/10,79/100,"An occupying Japanese general challenges Chinese men to duels to prove the superiority of the Japanese, but Ip Man refuses to fight – at first."
