"Titulo","Ano","Escritor"
"Altered Carbon",2018,"Laeta Kalogridis"
"Altered Carbon",2018,"Richard Morgan"
"Ash vs Evil Dead",2015,"Ivan Raimi"
"Ash vs Evil Dead",2015,"Sam Raimi"
"The Sinner",2017,"Derek Simonds"
"Narcos: Mexico",2018,"Carlo Bernard"
"Narcos: Mexico",2018,"Chris Brancato"
"Shadow and Bone",2021,"Leigh Bardugo"
"Shadow and Bone",2021,"Eric Heisserer"
"Castlevania",2017,"Warren Ellis"
"The Kominsky Method",2018,"Chuck Lorre"
"The Kominsky Method",2018,"Alan J. Higgins"
"Hunter x Hunter",2011,"Yoshihiro Togashi"
"Dead to Me",2019,"Liz Feldman"
"The Haunting of Hill House",2018,"Mike Flanagan"
"Russian Doll",2019,"Leslye Headland"
"Kingdom",2019,"Eun-hee Kim"
"Neon Genesis Evangelion",1995,"Hideaki Anno"
"Naruto",2002,"Masashi Kishimoto"
"NCIS",2003,"Donald P. Bellisario"
"Manifest",2018,"Jeff Rake"
"Manifest",2018,"MW Cartozian Wilson"
"Halt and Catch Fire",2014,"Christopher Cantwell"
"Halt and Catch Fire",2014,"Christopher C. Rogers"
"Monty Python's Flying Circus",1969,"Graham Chapman"
"After Life",2019,"Ricky Gervais"
"Riverdale",2017,"Roberto Aguirre-Sacasa"
"Riverdale",2017,"Arabella Anderson"
"Big Mouth",2017,"Jennifer Flackett"
"I Think You Should Leave with Tim Robinson",2019,"Zach Kanin"
"Derry Girls",2018,"Lisa McGee"
"The Promised Neverland",2019,"Posuka Demizu"
"The Promised Neverland",2019,"Kaiu Shirai"
"Lost in Space",2018,"Matt Sazama"
"Lost in Space",2018,"Burk Sharpless"
"Star Trek: Deep Space Nine",1993,"Rick Berman"
"Star Trek: Deep Space Nine",1993,"Michael Piller"
"Jane the Virgin",2014,"Jennie Snyder Urman"
"Godless",2017,"Scott Frank"
"The OA",2016,"Zal Batmanglij"
"The OA",2016,"Brit Marling"
"DC's Legends of Tomorrow",2016,"Greg Berlanti"
"Sacred Games",2018,"Varun Grover"
"iZombie",2015,"Mike Allred"
"iZombie",2015,"Chris Roberson"
"iZombie",2015,"Diane Ruggiero-Wright"
"Longmire",2012,"Hunt Baldwin"
"Happy Endings",2011,"David Caspe"
"Happy Endings",2011,"Jackie Clarke"
"Into the Badlands",2015,"Alfred Gough"
"Into the Badlands",2015,"Miles Millar"
"The Originals",2013,"Julie Plec"
"Anne with an E",2017,"Lucy Maud Montgomery"
"Grace and Frankie",2015,"Marta Kauffman"
"Grace and Frankie",2015,"Howard J. Morris"
"Chilling Adventures of Sabrina",2018,"Roberto Aguirre-Sacasa"
"Chilling Adventures of Sabrina",2018,"Christianne Hedtke"
"Queen of the South",2016,"M.A. Fortin"
"Queen of the South",2016,"Joshua John Miller"
"A Series of Unfortunate Events",2017,"Joshua Conkel"
"A Series of Unfortunate Events",2017,"Emily Fox"
"A Series of Unfortunate Events",2017,"Sigrid Gilmer"
"Bridgerton",2020,"Chris Van Dusen"
"Unorthodox",2020,"Deborah Feldman"
"Unorthodox",2020,"Daniel Hendler"
"Unorthodox",2020,"Alexa Karolinski"
"Stargate SG-1",1997,"Jonathan Glassner"
"Outer Banks",2020,"Shannon Burke"
"13 Reasons Why",2017,"Jay Asher"
"13 Reasons Why",2017,"Brian Yorkey"
"Unbreakable Kimmy Schmidt",2015,"Robert Carlock"
"Marvel's Luke Cage",2016,"Cheo Hodari Coker"
"GLOW",2017,"Liz Flahive"
"GLOW",2017,"Carly Mensch"
"Borgen",2010,"Adam Price"
"The 4400",2004,"René Echevarria"
"Alias Grace",2017,"Margaret Atwood"
"Alias Grace",2017,"Sarah Polley"
"All American",2018,"April Blair"
"All American",2018,"Lorna Clarke Osunsanmi"
"Santa Clarita Diet",2017,"Victor Fresco"
"Santa Clarita Diet",2017,"Aaron Brownstein"
"Reign",2013,"Laurie McCarthy"
"Reign",2013,"Stephanie Sengupta"
"Maniac",2018,"Ole Marius Araldsen"
"Maniac",2018,"Cary Joji Fukunaga"
"Dark Matter",2015,"Joseph Mallozzi"
"Dark Matter",2015,"Paul Mullie"
"Star Trek: Voyager",1995,"Rick Berman"
"Star Trek: Voyager",1995,"Michael Piller"
"Call the Midwife",2012,"Jennifer Worth"
"American Vandal",2017,"Dan Perrault"
"American Vandal",2017,"Tony Yacenda"
"Wynonna Earp",2016,"Emily Andras"
"Wynonna Earp",2016,"Beau Smith"
"Marvel's The Defenders",2017,"Brian Michael Bendis"
"Marvel's The Defenders",2017,"Bill Everett"
"Marvel's The Defenders",2017,"Michael Gaydos"
"Colony",2016,"Ryan J. Condal"
"Heartland",2007,"Lauren Brooke"
"Marco Polo",2014,"John Fusco"
"Marco Polo",2014,"Matthew White"
"The Dragon Prince",2018,"Aaron Ehasz"
"The Dragon Prince",2018,"Justin Richmond"
"Locke & Key",2020,"Meredith Averill"
"Locke & Key",2020,"Aron Eli Coleite"
"Love",2016,"Gaspar Noé"
"One Day at a Time",2017,"Whitney Blake"
"One Day at a Time",2017,"Gloria Calderón Kellett"
"Feel Good",2020,"Joe Hampson"
"Feel Good",2020,"Mae Martin"
"Fauda",2015,"Michal Aviram"
"Fauda",2015,"Avi Issacharoff"
"The Dark Crystal: Age of Resistance",2019,"Jeffrey Addiss"
"The Dark Crystal: Age of Resistance",2019,"Richard Elliott"
"Top Boy",2011,"Ronan Bennett"
"I Am Not Okay with This",2020,"Jonathan Entwistle"
"I Am Not Okay with This",2020,"Charles S. Forsman"
"Supergirl",2015,"Ali Adler"
"The Shannara Chronicles",2016,"Terry Brooks"
"The Shannara Chronicles",2016,"Alfred Gough"
"Designated Survivor",2016,"David Guggenheim"
"Travelers",2016,"Brad Wright"
"StartUp",2016,"Ben Ketai"
"StartUp",2016,"Josh Corbin"
"Ripper Street",2012,"Richard Warlow"
"Episodes",2011,"David Crane"
"Episodes",2011,"Jeffrey Klarik"
"Crazy Ex-Girlfriend",2015,"Rachel Bloom"
"Bloodline",2015,"Glenn Kessler"
"Black Summer",2019,"Craig Engler"
"Black Summer",2019,"John Hyams"
"The Borgias",2011,"Neil Jordan"
"The Borgias",2011,"Guy Burt"
"Glee",2009,"Ian Brennan"
"The Stranger",2020,"Harlan Coben"
"The Stranger",2020,"Daniel Brocklehurst"
"The Stranger",2020,"Mick Ford"
"Virgin River",2019,"Robyn Carr"
"Virgin River",2019,"Sue Tenney"
"Lilyhammer",2012,"Eilif Skodvin"
"Lilyhammer",2012,"Steven Van Zandt"
"Dirty John",2018,"Alexandra Cunningham"
"Dirty John",2018,"Lex Edness"
"TURN: Washington's Spies",2014,"Alexander Rose"
"TURN: Washington's Spies",2014,"Craig Silverstein"
"Star Trek: Enterprise",2001,"Rick Berman"
"She-Ra and the Princesses of Power",2018,"Noelle Stevenson"
"Merlin",2008,"Johnny Capps"
"Merlin",2008,"Julian Jones"
"The Magicians",2015,"Sera Gamble"
"Ginny & Georgia",2021,"Sarah Lampert"
"Ginny & Georgia",2021,"Debra J. Fisher"
"The Spy",2019,"Gideon Raff"
"The Spy",2019,"Max Perry"
"On My Block",2018,"Eddie Gonzalez"
"On My Block",2018,"Jeremy Haft"
"Biohackers",2020,"Christian Ditter"
"The Seven Deadly Sins",2014,"Nakaba Suzuki"
"The Seven Deadly Sins",2014,"Jalen K. Cassell"
"The Seven Deadly Sins",2014,"Clark Cheng"
"The Midnight Gospel",2020,"Mike L. Mayfield"
"The Midnight Gospel",2020,"Duncan Trussell"
"Ragnarok",2020,"Emilie Lebech Kaae"
"Legacies",2018,"Julie Plec"
"Legacies",2018,"L.J. Smith"
"The Order",2019,"Dennis Heaton"
"The Order",2019,"Gorrman Lee"
"Disenchantment",2018,"Matt Groening"
"Dead Set",2008,"Charlie Brooker"
"Dirty Money",2018,"Nurkan Aydogan"
"Soul Eater",2008,"Atsushi Ohkubo"
"Soul Eater",2008,"Akatsuki Yamatoya"
"Into the Night",2020,"Jason George"
"Into the Night",2020,"Jacek Dukaj"
"The Haunting of Bly Manor",2020,"Mike Flanagan"
"The Haunting of Bly Manor",2020,"Henry James"
"Julie and the Phantoms",2020,"Dan Cross"
"Living with Yourself",2019,"Timothy Greenberg"
"Young Royals",2021,"Lisa Ambjörn"
"Hilda",2018,"Kurt Mueller"
"Hilda",2018,"Luke Pearson"
"The Mechanism",2018,"Elena Soarez"
"The Mechanism",2018,"José Padilha"
"Don't F**k with Cats: Hunting an Internet Killer",2019,"Mark Lewis"
"Kim's Convenience",2016,"Ins Choi"
"The Society",2019,"Rachel Alter"
"The Society",2019,"Emily Bensinger"
"Imposters",2017,"Paul Adelstein"
"Imposters",2017,"Adam Brooks"
"Frequency",2016,"Toby Emmerich"
"Frequency",2016,"Jeremy Carver"
"Wentworth",2013,"Reg Watson"
"Marvel's Iron Fist",2017,"Scott Buck"
"Marvel's Iron Fist",2017,"Gil Kane"
"Bleach",2004,"Tite Kubo"
"Bleach",2004,"Masashi Sogo"
"Quantico",2015,"Joshua Safran"
"Quantico",2015,"Logan Slakter"
"Shooter",2016,"John Hlavin"
"Pokémon",1997,"Junichi Masuda"
"Pokémon",1997,"Ken Sugimori"
"Hollywood",2020,"Ian Brennan"
"Hollywood",2020,"Ryan Murphy"
"Madam Secretary",2014,"Barbara Hall"
"Madam Secretary",2014,"Alexander Maggio"
"Last Tango in Halifax",2012,"Sally Wainwright"
"Safe",2018,"Harlan Coben"
"Safe",2018,"Daniel Brocklehurst"
"Safe",2018,"Mick Ford"
"Versailles",2015,"Simon Mirren"
"Sex/Life",2021,"BB Easton"
"Sex/Life",2021,"Stacy Rukeyser"
"Fullmetal Alchemist",2003,"Shô Aikawa"
"Marianne",2019,"Samuel Bodin"
"Marianne",2019,"Quoc Dang Tran"
"Five Came Back",2017,"Mark Harris"
"Miraculous: Tales of Ladybug & Cat Noir",2015,"Thomas Astruc"
"Abstract: The Art of Design",2017,"Chris Chuang"
"Teenage Bounty Hunters",2020,"Alex Edelman"
"Teenage Bounty Hunters",2020,"Kathleen Jordan"
"Documentary Now!",2015,"Fred Armisen"
"Documentary Now!",2015,"Bill Hader"
"Special",2019,"Ryan O'Connell"
"JoJo's Bizarre Adventure",2012,"Hirohiko Araki"
"JoJo's Bizarre Adventure",2012,"Yasuko Kobayashi"
"Manhunt",2017,"Andrew Sodroski"
"Your Lie in April",2014,"Naoshi Arakawa"
"Your Lie in April",2014,"Patrick Seitz"
"Code Geass: Lelouch of the Rebellion",2006,"Makoto Baba"
"Code Geass: Lelouch of the Rebellion",2006,"Clamp"
"Code Geass: Lelouch of the Rebellion",2006,"Mary Claypool"
"Middleditch & Schwartz",2020,"Thomas Middleditch"
"Middleditch & Schwartz",2020,"Ben Schwartz"
"Zoo",2015,"Josh Appelbaum"
"Zoo",2015,"Michael Ledwidge"
"Ratched",2020,"Ken Kesey"
"Ratched",2020,"Ryan Murphy"
"Babylon Berlin",2017,"Henk Handloegten"
"Babylon Berlin",2017,"Tom Tykwer"
"Better Than Us",2018,"Alexander Dagan"
"Better Than Us",2018,"Alexander Kessel"
"Everything Sucks!",2018,"Ben York Jones"
"Everything Sucks!",2018,"Michael Mohan"
"Marcella",2016,"Hans Rosenfeldt"
"Survivor",2000,"Charlie Parsons"
"Derek",2013,"Ricky Gervais"
"Flowers",2016,"Will Sharpe"
"3%",2016,"Pedro Aguilera"
"Tuca & Bertie",2019,"Lisa Hanawalt"
"Kuroko's Basketball",2012,"Tadatoshi Fujimaki"
"Kuroko's Basketball",2012,"Sawako Hirabayashi"
"Kuroko's Basketball",2012,"Shingo Irie"
"Trailer Park Boys",2001,"Mike Smith"
"Trailer Park Boys",2001,"Mike Clattenburg"
"Black Lightning",2018,"Salim Akil"
"Chicago Med",2015,"Michael Brandt"
"Chicago Med",2015,"Derek Haas"
"How to Sell Drugs Online (Fast)",2019,"Philipp Kässbohrer"
"Secret City",2016,"Angela Betzien"
"Secret City",2016,"Matt Cameron"
"Secret City",2016,"Belinda Chayko"
"Dynasty",2017,"Sallie Patrick"
"Dynasty",2017,"Stephanie Savage"
"Dracula",2020,"Mark Gatiss"
"Dracula",2020,"Steven Moffat"
"Dracula",2020,"Bram Stoker"
"Delhi Crime",2019,"Richie Mehta"
"Space Force",2020,"Steve Carell"
"Space Force",2020,"Greg Daniels"
"Masters of the Universe: Revelation",2021,"Kevin Smith"
"Masters of the Universe: Revelation",2021,"Marc Bernardin"
"iCarly",2007,"Dan Schneider"
"Who Killed Sara?",2021,"José Ignacio Valenzuela"
"Who Killed Sara?",2021,"Rosario Valenzuela"
"Sword Art Online",2012,"Reki Kawahara"
"Sword Art Online",2012,"Yukito Kizawa"
"Paranormal",2020,"Amr Salama"
"Frontier",2016,"Rob Blackie"
"The Politician",2019,"Ian Brennan"
"The Politician",2019,"Brad Falchuk"
"Raising Dion",2019,"Carol Barbee"
"Food Wars! Shokugeki no Soma",2015,"Shinichi Inotsume"
"Food Wars! Shokugeki no Soma",2015,"Shun Kawanabe"
"Food Wars! Shokugeki no Soma",2015,"Yûto Tsukuda"
"Crash Landing on You",2019,"Ji Eun Park"
"Seven Seconds",2018,"Yuriy Bykov"
"Seven Seconds",2018,"John Lopez"
"Wizards: Tales of Arcadia",2020,"Guillermo del Toro"
"Wizards: Tales of Arcadia",2020,"Chad Quandt"
"Conversations with a Killer: The Ted Bundy Tapes",2019,"Joe Berlinger"
"Lenox Hill",2020,"Adi Barash"
"Lenox Hill",2020,"Ruthie Shatz"
"Fate: The Winx Saga",2021,"Iginio Straffi"
"Hemlock Grove",2013,"Brian McGreevy"
"Explained",2018,"Joe Posner"
"Explained",2018,"Joss Fong"
"Messiah",2020,"Michael Bond"
"Messiah",2020,"Amy Louise Johnson"
"Sky Rojo",2021,"Álex Pina"
"Sky Rojo",2021,"David Barrocal"
"Sky Rojo",2021,"Esther Martínez Lobato"
"Bonding",2019,"Rightor Doyle"
"Bonding",2019,"Nana Mensah"
"I'm Sorry",2017,"Andrea Savage"
"Katla",2021,"Ólafur Egilsson"
"Katla",2021,"Sigurjón Kjartansson"
"It's Okay to Not Be Okay",2020,"Jo Yong"
"Forensic Files",1996,"Alan LaGarde"
"Forensic Files",1996,"Ed Freedman"
"Forensic Files",1996,"Vince Sherry"
"Workin' Moms",2017,"Catherine Reitman"
"The Toys That Made Us",2017,"Nicholas Ferrell"
"The Toys That Made Us",2017,"Benjamin J. Frost"
"Kipo and the Age of Wonderbeasts",2020,"Christopher Amick"
"Kipo and the Age of Wonderbeasts",2020,"Ben Mekler"
"Roswell, New Mexico",2019,"Melinda Metz"
"Roswell, New Mexico",2019,"Carina Adly MacKenzie"
"Glitch",2015,"Tony Ayres"
"Great Pretender",2020,"Ryôta Kosawa"
"In the Dark",2019,"Corinne Kingsbury"
"Voltron: Legendary Defender",2016,"Mark Bemesderfer"
"Voltron: Legendary Defender",2016,"Erik Bogh"
"Trollhunters: Tales of Arcadia",2016,"Guillermo del Toro"
"Sweet Magnolias",2020,"Sheryl J. Anderson"
"Medici: Masters of Florence",2016,"Nicholas Meyer"
"The Innocent",2021,"Harlan Coben"
"The Innocent",2021,"Oriol Paulo"
"Aggretsuko",2018,"Rareko"
"Jurassic World: Camp Cretaceous",2020,"Michael Crichton"
"Jurassic World: Camp Cretaceous",2020,"Sheela Shrinivas"
"Rake",2010,"Peter Duncan"
"The Serpent",2021,"Richard Warlow"
"The Serpent",2021,"Toby Finlay"
"The Gift",2019,"Sengül Boybas"
"The Gift",2019,"Nuran Evren Sit"
"The Gift",2019,"Cansu Coban"
"Violet Evergarden",2018,"Kana Akatsuki"
"Violet Evergarden",2018,"Reiko Yoshida"
"3Below: Tales of Arcadia",2018,"A.C. Bradley"
"Dawson's Creek",1998,"Kevin Williamson"
"Dawson's Creek",1998,"Gina Fattore"
"Private Practice",2007,"Shonda Rhimes"
"Private Practice",2007,"Gabe Fonseca"
"Beauty and the Beast",2012,"Sherri Cooper-Landsman"
"Daybreak",2019,"Aron Eli Coleite"
"Easy",2016,"Joe Swanberg"
"Behind Her Eyes",2021,"Steve Lightfoot"
"Behind Her Eyes",2021,"Sarah Pinborough"
"Collateral",2018,"David Hare"
"Knightfall",2017,"Don Handfield"
"Knightfall",2017,"Richard Rayner"
"Call My Agent!",2015,"Dominique Besnehard"
"Call My Agent!",2015,"Fanny Herrero"
"My Little Pony: Friendship Is Magic",2010,"Lauren Faust"
"Containment",2016,"Carl Joos"
"Containment",2016,"Julie Plec"
"Z Nation",2014,"Craig Engler"
"Z Nation",2014,"Karl Schaefer"
"Emily in Paris",2020,"Darren Star"
"Victorious",2010,"Dan Schneider"
"Victorious",2010,"Matt Fleckenstein"
"Scream: The TV Series",2015,"Jay Beattie"
"Scream: The TV Series",2015,"Jill E. Blotevogel"
"Akame ga Kill!",2014,"Katelyn Barr"
"Akame ga Kill!",2014,"Touko Machida"
"Akame ga Kill!",2014,"Kojiro Nakamura"
"Warrior Nun",2020,"Simon Barry"
"Warrior Nun",2020,"David Hayter"
"Bad Blood",2017,"Michael Konyves"
"Young & Hungry",2014,"David Holden"
"Young & Hungry",2014,"Ryan Shankel"
"Caliphate",2020,"Wilhelm Behrman"
"Good Witch",2015,"Rod Spence"
"Good Witch",2015,"Craig Pryce"
"Gilmore Girls: A Year in the Life",2016,"Amy Sherman-Palladino"
"Gilmore Girls: A Year in the Life",2016,"Daniel Palladino"
"Aquarius",2015,"John McNamara"
"Firefly Lane",2021,"Maggie Friedman"
"White Gold",2017,"Damon Beesley"
"Reply 1988",2015,"Woo-jung Lee"
"Ninjago: Masters of Spinjitzu",2012,"Dan Hageman"
"Spotless",2015,"Corinne Marrinan"
"Spotless",2015,"Ed McCardie"
"Devilman: Crybaby",2018,"Bob Buchholz"
"Devilman: Crybaby",2018,"Ichirô Ôkouchi"
"Devilman: Crybaby",2018,"Gô Nagai"
"Kill la Kill",2013,"Kazuki Nakashima"
"Kill la Kill",2013,"Hiroshi Seko"
"Kill la Kill",2013,"Hiromi Wakabayashi"
"Ancient Aliens",2010,"Max Thompson"
"Ancient Aliens",2010,"Kevin Burns"
"Slasher",2016,"Aaron Martin"
"Ray",2021,"Sayantan Mukherjee"
"Ray",2021,"Satyajit Ray"
"Away",2020,"Andrew Hinderaker"
"Away",2020,"Chris Jones"
"No Tomorrow",2016,"Corinne Brinkerhoff"
"Locked Up",2015,"Blecyn George Monsi"
"The Frankenstein Chronicles",2015,"Barry Langford"
"The Frankenstein Chronicles",2015,"Benjamin Ross"
"The Ranch",2016,"Jim Patterson"
"Cursed",2020,"Frank Miller"
"Cursed",2020,"Tom Wheeler"
"Wu Assassins",2019,"Jessica Chou"
"Wu Assassins",2019,"Tony Krantz"
"Mr. Sunshine",2018,"Eun-sook Kim"
"The Unicorn",2019,"Grady Cooper"
"The Unicorn",2019,"Bill Martin"
"Anohana: The Flower We Saw That Day",2011,"Chouheiwa Busters"
"Anohana: The Flower We Saw That Day",2011,"Mari Okada"
"Anohana: The Flower We Saw That Day",2011,"Patrick Seitz"
"Alice in Borderland",2020,"Yasuko Kuramitsu"
"Alice in Borderland",2020,"Shinsuke Sato"
"The Challenge",1998,"Jonathan Murray"
"Gypsy",2017,"Jonathan Caren"
"Fuller House",2016,"Jeff Franklin"
"Fuller House",2016,"Eydie Faye"
1983,2018,"Dariusz Glazer"
1983,2018,"Joshua Long"
"Wet Hot American Summer: First Day of Camp",2015,"Sarah-Violet Bliss"
"Wet Hot American Summer: First Day of Camp",2015,"Lauren Caltagirone"
"Wet Hot American Summer: First Day of Camp",2015,"Joe DeRosa"
"The Baker and the Beauty",2020,"Nayna Agrawal"
"The Baker and the Beauty",2020,"Assi Azar"
"Spinning Out",2020,"Leon Chills"
"Spinning Out",2020,"Elizabeth Higgins Clark"
"Trinkets",2019,"Amy Andelson"
"Insatiable",2018,"Lauren Gussis"
"Insatiable",2018,"Jenina Kibuka"
"The Chalet",2018,"Camille Bordes-Resnais"
"The Chalet",2018,"Alexis Lecaye"
"We Bare Bears",2015,"Daniel Chong"
"Gurren Lagann",2007,"Kazuki Nakashima"
"Gurren Lagann",2007,"Tony Oliver"
"Friends from College",2017,"Francesca Delbanco"
"Friends from College",2017,"Nicholas Stoller"
"Jericho",2006,"Stephen Chbosky"
"Tidelands",2018,"Stephen M. Irwin"
"Dear White People",2017,"Justin Simien"
"Dare Me",2019,"Megan Abbott"
"Ouran High School Host Club",2006,"Yoji Enokido"
"Ouran High School Host Club",2006,"Bisco Hatori"
"Scooby-Doo! Mystery Incorporated",2010,"Joe Ruby"
"Scooby-Doo! Mystery Incorporated",2010,"Ken Spears"
"Scooby-Doo! Mystery Incorporated",2010,"Michael Ryan"
"The Untamed",2019,"Mo Xiang Tong Xiu"
"Stranger",2017,"Soo Yun Lee"
"El Chapo",2017,"Silvana Aguirre"
"Great News",2017,"Dan Klein"
"The Get Down",2016,"Stephen Adly Guirgis"
"The Naked Director",2019,"Yoshitatsu Yamada"
"The Naked Director",2019,"Kôsuke Nishi"
"Rise of Empires: Ottoman",2020,"Liz Lake"
"Rise of Empires: Ottoman",2020,"Kelly McPherson"
"Rise of Empires: Ottoman",2020,"Emre Sahin"
"Club de Cuervos",2015,"Alessia Costantini"
"Club de Cuervos",2015,"David Toussier"
"My Mister",2018,"Park Hae Young"
"Toradora!",2008,"Tatsuto Higuchi"
"Toradora!",2008,"Mari Okada"
"Toradora!",2008,"Junko Okazaki"
"The Baby-Sitters Club",2020,"Lisha Brooks"
"Carole & Tuesday",2019,"Shin'ichirô Watanabe"
"Carole & Tuesday",2019,"Hitomi Mieno"
"Van Helsing",2016,"Gorrman Lee"
"Vincenzo",2021,"Park Jae-bum"
"The Night Shift",2014,"Jeff Judah"
"The Night Shift",2014,"Gabe Sachs"
"The King: Eternal Monarch",2020,"Eun-sook Kim"
"Eden",2021,"Vanessa Gazy"
"Eden",2021,"Anya Beyersdorf"
"Stateless",2020,"Tony Ayres"
"Stateless",2020,"Cate Blanchett"
"Hospital Playlist",2020,"Woo-jung Lee"
"Dash & Lily",2020,"Rachel Cohn"
"Dash & Lily",2020,"David Levithan"
"The Confession Tapes",2017,"Kelly Loudenberg"
"Black Butler",2008,"John Burgmeier"
"Black Butler",2008,"Bonny Clinkenbeard"
"Black Butler",2008,"Mari Okada"
"The Rain",2018,"Jannik Tai Mosholt"
